sum,max,min,mode,mean,upper,lower,dev,var,above_mean_sum,above_mean_max,above_mean_min,above_mean_mode,above_mean_mean,above_mean_dev,above_mean_var,bellow_mean_sum,bellow_mean_max,bellow_mean_min,bellow_mean_mode,bellow_mean_mean,bellow_mean_dev,bellow_mean_var
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0.000000,-nan,-nan,-nan
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0.000000,-nan,-nan,-nan
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0.000000,-nan,-nan,-nan
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0.000000,-nan,-nan,-nan
0.240000,0.160000,0.080000,0.080000,0.120000,0.120000,0.120000,0.040000,0.001600,0.160000,0.160000,0.160000,0.160000,0.160000,0.000000,0.000000,0.080000,0.080000,0.080000,0.080000,0.080000,0.000000,0.000000
0.400000,0.240000,0.160000,0.160000,0.200000,0.200000,0.200000,0.040000,0.001600,0.240000,0.240000,0.240000,0.240000,0.240000,0.000000,0.000000,0.160000,0.160000,0.160000,0.160000,0.160000,0.000000,0.000000
0.400000,0.200000,0.200000,0.200000,0.200000,0.200000,-nan,0.000000,0.000000,0.400000,0.200000,0.200000,0.200000,0.200000,0.000000,0.000000,0.000000,-179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0.000000,-nan,-nan,-nan
0.520000,0.280000,0.240000,0.240000,0.260000,0.260000,0.260000,0.020000,0.000400,0.280000,0.280000,0.280000,0.280000,0.280000,0.000000,0.000000,0.240000,0.240000,0.240000,0.240000,0.240000,0.000000,0.000000
0.600000,0.320000,0.280000,0.280000,0.300000,0.300000,0.300000,0.020000,0.000400,0.320000,0.320000,0.320000,0.320000,0.320000,0.000000,0.000000,0.280000,0.280000,0.280000,0.280000,0.280000,0.000000,0.000000
1.080000,0.640000,0.440000,0.440000,0.540000,0.540000,0.540000,0.100000,0.010000,0.640000,0.640000,0.640000,0.640000,0.640000,0.000000,0.000000,0.440000,0.440000,0.440000,0.440000,0.440000,0.000000,0.000000
